index	Mots écrits	_id	Pictogramme	Catégories	Conjugaison	schematic	sex	violence	aac	aacColor	skin	hair	downloads
certificats	certificats	27677,27724	27677.png,27724.png	official document:official document	0,0	True,False	False,False	False,False	False,False	False,False	False,False	False,False	0,0
certificats d'invalidité	certificats d'invalidité	29971	29971.png	official document	0	True	False	False	False	False	False	False	0
certificats d'urbanisme	certificats d'urbanisme	35175	35175.png	public administration,construction	0	True	False	False	False	False	True	False	0
certificats de décès	certificats de décès	29969	29969.png	court document,death	0	True	False	False	False	False	False	False	0
certifier	certifier	35097	35097.png	verb,official document	1	True	False	False	False	False	True	False	0
cervantès	cervantès	15351	15351.png	historical character,literature	0	False	False	False	False	False	False	False	0
cerveau	cerveau	2696	2696.png	human anatomy,nervous system	0	False	False	False	False	False	False	False	0
cerveaux	cerveaux	2696	2696.png	human anatomy,nervous system	0	False	False	False	False	False	False	False	0
cervelle	cervelle	2696	2696.png	human anatomy,nervous system	0	False	False	False	False	False	False	False	0
cervelles	cervelles	2696	2696.png	human anatomy,nervous system	0	False	False	False	False	False	False	False	0
ces	ces	7092	7092.png	demonstrative adjective	0	True	False	False	False	False	False	False	0
cette histoire est finie	cette histoire est finie	8115	8115.png	set phrase	0	False	False	False	False	False	True	True	0
ceuta	ceuta	8070,8535,14837,31330,31331	8070.png,8535.png,14837.png,31330.png,31331.png	flag,spain region:city:spain region,city:city:city,monument	0,0,0,0,0	False,False,False,False,False	False,False,False,False,False	False,False,False,False,False	False,False,False,False,False	False,False,False,False,False	False,False,False,False,False	False,False,False,False,False	0,0,0,0,0
ceux-ci	ceux-ci	7096	7096.png	demonstrative adjective	0	True	False	False	False	False	False	False	0
ceux-là	ceux-là	6907	6907.png	demonstrative adjective	0	True	False	False	False	False	False	False	0
cgac	cgac	36898	36898.png	cultural building	0	False	False	False	False	False	False	False	0
chacoli	chacoli	29197	29197.png	beverage	0	False	False	False	False	False	False	False	0
chacun	chacun	36081	36081.png	indefinite adjective	0	True	False	False	False	False	False	False	0
chahut	chahut	24832,24833	24832.png,24833.png	verb,disruptive behavior:verb	1,1	False,True	False,False	False,False	False,False	False,False	True,True	True,False	0,0
